"","accGenus","PalmTribe","PalmSubfamily","Climbing","Acaulescent","Erect","StemSolitary","StemArmed","LeavesArmed","MaxStemHeight_m","MaxStemDia_cm","UnderstoreyCanopy","Max_Blade_Length_m","AverageFruitLength_cm","AverageFruitWidth_cm","MinFruitWidth_cm","MaxFruitWidth_cm","FruitSizeCategorical","FruitShape","MainFruitColors"
"14","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 18.00"," 50.0","canopy"," 4.200"," 1.4000000"," 1.5500000"," 1.400"," 1.700","small","globose","red"
"15","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  2.0","understorey"," 0.960"," 0.9000000"," 0.9000000"," 0.800"," 1.000","small","ovoid","red"
"16","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  4.50","  6.0","understorey"," 1.380"," 0.7500000"," 0.7500000"," 0.600"," 1.000","small","","brown"
"17","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  8.00","  5.0","canopy"," 1.300"," 2.2500000"," 2.2500000"," 2.000"," 2.500","small","globose","white"
"18","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  1.50","  6.0","understorey"," 2.000"," 0.8500000"," 0.8500000"," 0.700"," 1.000","small","ovoid","red"
"19","Allagoptera","Cocoseae","Arecoideae","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","  0.20"," 15.0","understorey"," 1.800"," 1.6000000"," 1.1500000"," 1.000"," 1.300","small","","green"
"20","Allagoptera","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  8.00"," 25.0","canopy"," 4.000"," 4.2500000"," 3.2500000"," 3.000"," 3.500","large","ovoid","brown"
"21","Ammandra","Phytelepheae","Ceroxyloideae","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","  1.50"," 15.0","understorey"," 4.500","10.0000000","10.0000000"," 8.000","12.000","large","globose","brown"
"22","Archontophoenix","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 30.00"," 30.0","canopy"," 4.500"," 1.1000000"," 0.8500000"," 0.600"," 1.100","small","ovoid","red"
"23","Archontophoenix","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 22.00"," 30.0","canopy"," 5.000"," 1.2500000"," 0.9000000"," 0.700"," 1.100","small","globose","red"
"24","Archontophoenix","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 30.0","canopy"," 4.000"," 1.7000000"," 1.1000000"," 1.000"," 1.200","small","globose","red"
"25","Archontophoenix","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 25.00"," 45.0","canopy"," 6.000"," 2.3000000"," 2.0000000"," 1.800"," 2.200","small","globose","red"
"26","Archontophoenix","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 26.0","canopy"," 3.150"," 2.0000000"," 1.2500000"," 1.000"," 1.500","small","ovoid","red"
"27","Areca","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  3.00","  9.0","understorey"," 1.500"," 5.0000000"," 1.7000000"," 1.500"," 2.500","large","globose","red"
"28","Areca","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 25.00"," 30.0","canopy"," 3.150"," 6.5000000"," 4.7500000"," 3.500"," 6.000","large","ovoid","red"
"29","Areca","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  6.00","  4.0","canopy"," 1.260"," 7.5000000"," 5.5000000"," 5.000"," 6.000","large","ovoid","orange"
"30","Areca","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  4.00","  8.0","understorey"," 1.750"," 2.5000000"," 1.3500000"," 1.200"," 1.500","small","ovoid","red"
"31","Arenga","Caryoteae","Coryphoideae","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"," 20.00"," 30.0","canopy"," 4.000"," 1.7000000"," 1.8000000"," 0.800"," 2.800","small","globose","red"
"32","Arenga","Caryoteae","Coryphoideae","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE"," 15.00"," 35.0","canopy"," 5.000"," 2.6500000"," 2.0500000"," 1.100"," 3.000","small","ovoid","black"
"33","Arenga","Caryoteae","Coryphoideae","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","  8.00"," 15.0","canopy"," 4.000"," 1.4400000"," 1.6500000"," 1.500"," 1.800","small","ovoid","red"
"34","Arenga","Caryoteae","Coryphoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 60.0","canopy"," 8.000"," 7.0000000"," 6.0000000"," 5.000"," 7.000","large","ovoid","black"
"35","Astrocaryum","Cocoseae","Arecoideae","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","  1.00"," 30.0","understorey"," 7.000"," 4.0000000"," 2.6000000"," 2.400"," 2.800","large","","yellow"
"36","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 20.00"," 25.0","canopy"," 8.400"," 5.5000000"," 4.0000000"," 3.500"," 4.500","large","globose","orange"
"37","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 30.00"," 40.0","canopy"," 9.000"," 7.0000000"," 4.7500000"," 4.500"," 5.000","large","","orange"
"38","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  7.00"," 15.0","canopy"," 5.500"," 3.5500000"," 2.7500000"," 2.500"," 3.000","small","globose","orange"
"39","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 20.00"," 30.0","canopy"," 6.000"," 3.5000000"," 2.4000000"," 1.700"," 3.000","small","ovoid","orange"
"40","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00"," 18.0","understorey"," 5.700"," 5.1000000"," 1.6000000"," 2.200"," 3.000","large","globose","brown"
"41","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 15.00"," 30.0","canopy"," 8.000"," 7.2500000"," 4.1000000"," 3.800"," 4.400","large","ovoid","brown"
"42","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 20.00"," 25.0","canopy"," 3.500"," 4.0000000"," 2.2000000"," 2.000"," 2.400","large","globose","orange"
"43","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 12.00"," 20.0","canopy"," 7.700"," 6.7500000"," 3.2500000"," 2.500"," 4.000","large","ovoid","brown"
"44","Astrocaryum","Cocoseae","Arecoideae","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","  0.00","  0.0","understorey"," 3.600"," 5.0000000"," 3.0000000"," 2.500"," 3.500","large","","orange"
"45","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 15.00"," 30.0","canopy"," 5.610"," 5.5000000"," 3.1000000"," 2.700"," 3.500","large","","orange"
"46","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  5.00"," 12.0","understorey"," 3.090"," 5.0000000"," 2.7500000"," 2.500"," 3.000","large","","multicolor"
"47","Astrocaryum","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 15.00"," 20.0","canopy"," 7.500"," 4.2500000"," 3.2000000"," 2.500"," 3.700","large","ovoid","orange"
"48","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 30.00"," 50.0","canopy"," 9.320"," 9.0000000"," 6.0000000"," 5.000"," 7.000","large","globose","multicolor"
"49","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 25.00"," 75.0","canopy","13.340"," 8.2500000"," 3.7500000"," 3.000"," 4.500","large","ovoid","brown"
"50","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 25.00"," 60.0","canopy","14.350"," 6.0000000"," 3.9000000"," 3.300"," 4.500","large","","brown"
"51","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 15.00"," 55.0","canopy"," 9.300"," 7.5000000"," 3.2500000"," 2.500"," 4.000","large","ovoid","brown"
"52","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 25.00"," 35.0","canopy"," 7.000"," 6.2500000"," 3.0000000"," 3.000"," 4.000","large","elongate","brown"
"53","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 15.00"," 30.0","canopy","12.000","12.5000000"," 6.0000000"," 3.000"," 9.000","large","globose","brown"
"54","Attalea","Cocoseae","Arecoideae","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","  0.00","  0.0","understorey"," 2.600"," 6.0000000"," 3.7500000"," 3.000"," 4.500","large","elongate","brown"
"55","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 35.0","canopy","15.400"," 5.0000000"," 2.7500000"," 2.500"," 3.000","large","ovoid","orange"
"56","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 30.00"," 45.0","canopy","11.800"," 9.0000000"," 5.0000000"," 4.000"," 6.000","large","globose","brown"
"57","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 10.00"," 60.0","canopy"," 9.700"," 8.5000000"," 4.0000000"," 3.000"," 5.000","large","globose","brown"
"58","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 40.0","canopy"," 6.300"," 7.5000000"," 6.2500000"," 5.500"," 7.000","large","","brown"
"59","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 12.00"," 30.0","canopy","10.500","10.7500000"," 5.5000000"," 5.000"," 6.000","large","ovoid","multicolor"
"60","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 41.0","canopy"," 7.820"," 9.5500000"," 6.8000000"," 3.700"," 9.900","large","","brown"
"61","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 19.00"," 40.0","canopy","11.500","12.5000000"," 6.5000000"," 6.000"," 7.000","large","ovoid","brown"
"62","Attalea","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 20.00"," 50.0","canopy"," 8.700","12.0000000"," 5.0000000"," 4.000"," 6.000","large","globose","multicolor"
"63","Bactris","Cocoseae","Arecoideae","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","  2.00","  7.0","understorey"," 3.800"," 1.4000000"," 1.4000000"," 1.000"," 1.800","small","globose","red"
"64","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  4.0","understorey"," 4.500"," 1.6000000"," 1.6000000"," 1.200"," 2.000","small","ovoid","red"
"65","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  2.00","  0.5","understorey"," 0.180"," 0.6000000"," 0.6000000"," 0.500"," 0.700","small","globose","orange"
"66","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  3.00","  1.0","understorey"," 0.680"," 1.5000000"," 1.1000000"," 1.000"," 1.200","small","ovoid","green"
"67","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  7.00","  3.0","canopy"," 2.450"," 1.5000000"," 0.7500000"," 0.700"," 0.800","small","ovoid","orange"
"68","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  8.00","  8.0","canopy"," 3.920"," 1.3000000"," 1.3000000"," 1.000"," 1.600","small","globose","red"
"69","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  4.5","understorey"," 3.000"," 2.0000000"," 2.0000000"," 0.800"," 1.500","small","ovoid","black"
"70","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  2.0","understorey"," 1.700"," 2.5000000"," 1.2500000"," 1.000"," 1.500","small","globose","black"
"71","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  5.00","  4.0","understorey"," 2.400"," 0.6500000"," 0.6500000"," 0.500"," 0.800","small","ovoid","red"
"72","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  1.50","  2.0","understorey"," 1.120"," 1.4000000"," 1.4000000"," 1.000"," 1.800","small","","black"
"73","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  5.00","  2.5","understorey"," 1.000"," 1.1000000"," 1.1500000"," 1.100"," 1.200","small","ovoid","red"
"74","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","  2.00","  0.9","understorey"," 2.710"," 0.6500000"," 0.6500000"," 0.500"," 0.800","small","globose","orange"
"75","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  4.00","  2.0","understorey"," 0.760"," 2.7500000"," 1.5000000"," 1.000"," 2.000","small","","black"
"76","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  7.00","  5.0","canopy"," 2.580"," 2.2500000"," 2.2500000"," 1.500"," 3.000","small","ovoid","red"
"77","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 10.00","  8.0","canopy"," 3.120"," 2.0000000"," 1.4500000"," 1.400"," 1.500","small","ovoid","red"
"78","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  8.00","  5.0","canopy"," 2.970"," 3.2500000"," 1.7500000"," 1.000"," 2.500","small","ovoid","black"
"79","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  5.00","  5.0","understorey"," 4.000"," 2.0000000"," 2.0000000"," 1.500"," 2.500","small","ovoid","red"
"80","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  6.00","  4.0","canopy"," 2.500"," 2.2500000"," 1.8500000"," 1.700"," 2.000","small","elongate","black"
"81","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  6.00"," 10.0","canopy"," 2.500"," 1.2500000"," 1.2500000"," 1.000"," 1.500","small","globose","red"
"82","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  5.00","  3.0","understorey"," 1.650"," 1.5000000"," 1.4000000"," 1.200"," 1.600","small","globose","orange"
"83","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  3.50","  1.5","understorey"," 1.000"," 1.3500000"," 1.3500000"," 1.200"," 1.500","small","ovoid","black"
"84","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 10.00"," 10.0","canopy"," 2.880"," 1.6500000"," 1.6500000"," 1.300"," 2.000","small","ovoid","black"
"85","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  3.00","  3.0","understorey"," 1.100"," 2.7500000"," 1.7500000"," 1.500"," 2.000","small","","yellow"
"86","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 18.00"," 25.0","canopy"," 4.000"," 5.0000000"," 4.0000000"," 3.000"," 5.000","large","","red"
"87","Bactris","Cocoseae","Arecoideae","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","  0.60","  2.0","understorey"," 1.300"," 2.7500000"," 1.7500000"," 1.500"," 2.000","small","","black"
"88","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  5.00","  4.5","understorey"," 2.500"," 1.0500000"," 1.0500000"," 0.500"," 1.600","small","globose","red"
"89","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  3.00","  2.0","understorey"," 1.800"," 1.3000000"," 1.3000000"," 0.600"," 2.000","small","","yellow"
"90","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  4.0","understorey"," 2.080"," 1.6000000"," 1.6000000"," 1.200"," 2.000","small","globose","black"
"91","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  2.0","understorey"," 2.060"," 1.1500000"," 1.0000000"," 0.900"," 1.100","small","ovoid","orange"
"92","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  3.50","  3.0","understorey"," 1.150"," 1.1500000"," 1.0000000"," 0.900"," 1.100","small","globose","orange"
"93","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  3.00","  3.0","understorey"," 0.940"," 1.7500000"," 1.7500000"," 1.500"," 2.000","small","","black"
"94","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  3.00","  2.5","understorey"," 1.200"," 1.2000000"," 1.1000000"," 0.700"," 1.500","small","ovoid","red"
"95","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  3.00","  2.0","understorey"," 1.690"," 0.7500000"," 0.7500000"," 0.500"," 1.000","small","","black"
"96","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  6.00","  3.0","canopy"," 2.200"," 3.2500000"," 2.4000000"," 2.300"," 2.500","small","","black"
"97","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 12.00"," 12.0","canopy"," 2.300"," 1.1000000"," 1.1000000"," 0.900"," 1.300","small","ovoid","red"
"98","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  0.60","  1.5","understorey","16.000"," 1.4500000"," 0.9000000"," 0.800"," 1.000","small","ovoid","red"
"99","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  6.00","  5.0","canopy"," 1.620"," 1.6500000"," 1.6500000"," 1.300"," 2.000","small","elongate","red"
"100","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  4.50","  2.5","understorey"," 2.200"," 1.5500000"," 1.5500000"," 1.500"," 1.600","small","ovoid","brown"
"101","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.00","  4.0","understorey"," 2.300"," 2.8500000"," 2.1500000"," 2.000"," 2.300","small","","black"
"102","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 10.00","  6.0","canopy"," 3.300"," 3.5000000"," 2.4000000"," 1.300"," 3.500","small","ovoid","black"
"103","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  7.00","  4.0","canopy"," 2.060"," 1.5000000"," 1.5000000"," 1.000"," 2.000","small","ovoid","black"
"104","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  8.00","  5.0","canopy"," 3.000"," 4.5000000"," 2.2500000"," 2.000"," 2.500","large","","black"
"105","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  3.00","  3.5","understorey"," 2.500"," 1.2000000"," 1.0500000"," 0.900"," 1.200","small","ovoid","orange"
"106","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  5.00","  4.0","understorey"," 3.000"," 1.6000000"," 1.6000000"," 1.500"," 1.700","small","globose","red"
"107","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  1.50","  1.0","understorey"," 1.200"," 1.8500000"," 1.1500000"," 1.000"," 1.300","small","ovoid","black"
"108","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  3.00","  1.5","understorey"," 1.000"," 1.2500000"," 1.2500000"," 1.000"," 1.500","small","ovoid","red"
"109","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  3.00","  0.9","understorey"," 0.900"," 0.8500000"," 0.7500000"," 0.700"," 0.800","small","ovoid","orange"
"110","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  3.00","  1.5","understorey"," 0.650"," 1.3500000"," 1.3500000"," 1.200"," 1.500","small","elongate","purple"
"111","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE"," 10.00","  4.0","canopy"," 2.910"," 2.2500000"," 1.6500000"," 1.300"," 2.000","small","ovoid","black"
"112","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  3.00","  4.0","understorey"," 2.800"," 0.8500000"," 0.7500000"," 0.700"," 0.800","small","ovoid","red"
"113","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","  1.50","  8.0","understorey"," 4.500"," 1.2500000"," 1.2500000"," 1.000"," 1.500","small","globose","red"
"114","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 10.00"," 10.0","canopy"," 2.300"," 1.0000000"," 1.7500000"," 1.500"," 2.000","small","ovoid","red"
"115","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  1.50","  1.7","understorey"," 0.650"," 0.8500000"," 0.8500000"," 0.700"," 1.000","small","globose","red"
"116","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  5.00","  5.0","understorey"," 1.800"," 2.5000000"," 2.2500000"," 2.000"," 2.500","small","ovoid","black"
"117","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  6.00","  4.0","canopy"," 3.010"," 1.2500000"," 1.7500000"," 1.500"," 2.000","small","globose","black"
"118","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 10.00"," 10.0","canopy"," 4.100"," 1.9000000"," 1.9000000"," 1.500"," 2.000","small","","red"
"119","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","  2.50","  8.0","understorey"," 0.550"," 0.5000000"," 0.5000000"," 0.500"," 1.000","small","globose","red"
"120","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  1.50","  1.5","understorey"," 0.800"," 2.1000000"," 2.1000000"," 2.500"," 1.700","small","ovoid","black"
"121","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  4.50","  3.7","understorey"," 1.600"," 1.4000000"," 1.4000000"," 1.300"," 1.500","small","globose","red"
"122","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  1.70","  2.5","understorey"," 1.610"," 3.0000000"," 1.7500000"," 1.500"," 2.000","small","ovoid","brown"
"123","Bactris","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  3.00","  3.5","understorey"," 1.800"," 1.7000000"," 1.7000000"," 1.000"," 2.400","small","globose","purple"
